spec,k,n_designs,slope,se_model,se_cr2_design,df_cr2_design,lo_cr2_design,hi_cr2_design,p_cr2_design,tau_design,tau_within,se_cr2_study,df_cr2_study,p_cr2_study,p_wcr_design,sample,spec_key
"3-level RE, inverse-variance (primary)",44,6,-0.0327797,0.0101862,0.0140092,3.14957,-0.0761892,0.0106297,0.0970852,0.0147732,0.0331893,0.0144001,2.78156,0.114217,0.0387,all six designs (excl. Porian),weighted
"Design RE, unweighted (LMM)",44,6,-0.0295944,0.00837407,0.0110895,4.45976,-0.0591714,-1.74018e-05,0.0499124,0.0154329,0.0429149,0.013678,2.70715,0.128848,0.0457,all six designs (excl. Porian),unweighted
Design-balanced weights (CE-RVE),44,6,-0.0337151,0.0312755,0.0110841,3.27937,-0.0673491,-8.11067e-05,0.0496913,0.0147732,0.0331893,0.0114215,2.8274,0.0644982,0.0316,all six designs (excl. Porian),balanced
"Design FE, inverse-variance",44,6,-0.0210466,0.00920539,0.0236887,1.58059,-0.153828,0.111735,0.488576,,,0.023703,1.56701,0.489606,0.3628,all six designs (excl. Porian),fe_weighted
"Design FE, unweighted (OLS)",44,6,-0.0263221,0.00856963,0.0108047,4.47395,-0.0551081,0.00246379,0.0648102,,,0.0141826,2.71951,0.169886,0.0727,all six designs (excl. Porian),fe_unweighted
3-level RE on S = 2(1/sigma*-1) (slope in S units),44,6,0.136885,0.0445117,0.0660664,3.15251,-0.0677288,0.341499,0.12559,0.0594012,0.144348,0.0685224,2.69604,0.149887,0.0629,all six designs (excl. Porian),weighted_S
"3-level RE, hinge at 3e20 (slope above the knot)",44,6,-0.152452,0.0379615,0.0290015,2.16034,-0.268767,-0.0361374,0.0290642,0.0131104,0.0312566,0.0291913,2.15157,0.0297167,0.0518,all six designs (excl. Porian),weighted_hinge
"3-level RE, inverse-variance (primary)",17,2,-0.0537266,0.0138497,0.00139757,1.00339,-0.0713431,-0.03611,0.0163635,0,0.0298745,,,,0.064,Chinchilla + Llama 3 (the two designs reaching 1e21),weighted
"Design RE, unweighted (LMM)",17,2,-0.0497696,0.0141959,0.000543495,1.00569,-0.0565837,-0.0429554,0.00678298,0,0.0480968,,,,0.063,Chinchilla + Llama 3 (the two designs reaching 1e21),unweighted
"Design FE, inverse-variance",17,2,-0.057584,0.0126068,7.69134e-05,1,-0.0585612,-0.0566067,0.000850316,,,,,,0.0745,Chinchilla + Llama 3 (the two designs reaching 1e21),fe_weighted
"3-level RE, inverse-variance (primary)",19,3,0.000778277,0.0221076,0.00834811,1.80615,-0.0391002,0.0406567,0.935017,0,0,,,,0.887,Marin only (three corpora),weighted
"Design RE, unweighted (LMM)",19,3,-0.00255162,0.00943192,0.00677492,1.9983,-0.0317256,0.0266223,0.742681,0,0.0285792,,,,0.6345,Marin only (three corpora),unweighted
"Design FE, inverse-variance",19,3,-0.000939141,0.0232713,0.00947608,1.71381,-0.0489842,0.0471059,0.9314,,,,,,0.904,Marin only (three corpora),fe_weighted
